Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management,Record ID,Vehicle Type
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13637Medicar,Medicar
REVOKED,VPG,MV-1,2011.0,WHITE,Compressed Natural Gas,N,DESIREE AND MONIQUE CAB CORP.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,5160Taxi,Taxi
REVOKED,DODGE,CARAVAN,2011.0,WHITE,Compressed Natural Gas,N,WEST END TAXI CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,1803Taxi,Taxi
VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,862Taxi,Taxi
VIOLATION,FORD,ESCAPE,2012.0,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,2528Taxi,Taxi
VIOLATION,CHEVROLET,IMPALA,2009.0,WHITE,Compressed Natural Gas,N,INF CAB CORPORATION,CHICAGO,IL,60659.0,DIS-AFFILIATED,Owner Manager,4499Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,MONETA TAXI INC.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2394Taxi,Taxi
VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Compressed Natural Gas,Y,MIRZASULEMAN CORP,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6955Taxi,Taxi
FORECLOSURE,DODGE,CARAVAN,2012.0,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",540Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,6409Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,SLSJETS III CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,593Taxi,Taxi
VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,1112Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,TRIA HACKING CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6715Taxi,Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13632Medicar,Medicar
VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6418Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"TUDOR CITY HOLDINGS, INC.",CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4980Taxi,Taxi
SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618.0,DIS-AFFILIATED,Owner Manager,2433Taxi,Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13634Medicar,Medicar
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,250Taxi,Taxi
VIOLATION,FORD,ESCAPE,2011.0,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6870Taxi,Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13635Medicar,Medicar
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"PRETTY RACHEL IN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,218Taxi,Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13630Medicar,Medicar
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5196Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,707Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,2106Taxi,Taxi
SURRENDER,DODGE,GRAND CARAVAN,2016.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",748Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,920Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BROWN EYES CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5189Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",770Taxi,Taxi
VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Compressed Natural Gas,Y,GOODBAR TAXI CORP II,CHICAGO,IL,60612.0,DIS-AFFILIATED,Owner Manager,6236Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,DIAL CAB COMPANY,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,3142Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1714Taxi,Taxi
SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,IL,60618.0,DIS-AFFILIATED,Owner Manager,2422Taxi,Taxi
INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,12505Medicar,Medicar
VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1222Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,3062Taxi,Taxi
VIOLATION,CHEVROLET,IMPALA,2009.0,WHITE,Compressed Natural Gas,N,UBOO CAB CORPORATION,CHICAGO,IL,60659.0,DIS-AFFILIATED,Owner Manager,4568Taxi,Taxi
VIOLATION,VPG,MV-1,2014.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1899Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO VIII, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5319Taxi,Taxi
VIOLATION,FORD,CROWN VICTORIA,2010.0,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,2525Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,ZHANET CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,6258Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1775Taxi,Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13598Medicar,Medicar
INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,11882Medicar,Medicar
VIOLATION,FORD,ESCAPE,2011.0,WHITE,Compressed Natural Gas,N,"STEPHENDAM , INC.",CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6660Taxi,Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13599Medicar,Medicar
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GERI'S CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,260Taxi,Taxi
VIOLATION,FORD,ESCAPE,2010.0,GREEN,Compressed Natural Gas,N,NECT 6 INC.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6762Taxi,Taxi
VIOLATION,VPG,MV-1,2014.0,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO XI, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,772Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,MOISTURE II HACKING CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4620Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CARMELO CAB CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6320Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,5077Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"I & B MIDWEST ENTERPRISE, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2436Taxi,Taxi
VIOLATION,FORD,ESCAPE,2012.0,WHITE,Compressed Natural Gas,N,MCCAB II CORP.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,2544Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO ONE, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2364Taxi,Taxi
VIOLATION,FORD,TRANSIT CONNECT,2012.0,WHITE,Compressed Natural Gas,N,EMMANUEL O ORJI,CHICAGO,IL,60653.0,DIS-AFFILIATED,Owner Manager,3918Taxi,Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13636Medicar,Medicar
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4460Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"CHICAGO POLO X, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1966Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JIREH TRANSPORTATION SERVICES CORP.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner-Operator,6721Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,617Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",755Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,ELSTON ELEVEN LLC,CHICAGO,IL,60612.0,DIS-AFFILIATED,Owner Manager,4423Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,246Taxi,Taxi
INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,12517Medicar,Medicar
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13597Medicar,Medicar
VIOLATION,FORD,ESCAPE,2011.0,WHITE,Compressed Natural Gas,N,NADIA CHICAGO INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6571Taxi,Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13633Medicar,Medicar
VIOLATION,DODGE,GRAND CARAVAN,2012.0,GREEN,Compressed Natural Gas,Y,NECT 2 INC.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",3521Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",96Taxi,Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,IL,60619.0,None,None,13631Medicar,Medicar
VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,2931Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"CHICAGO POLO IX, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,3864Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1279Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,CHICAGO SEVEN INC,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,469Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4850Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4894Taxi,Taxi
SURRENDER,DODGE,GRAND CARAVAN,2012.0,BLUE/WHITE,Compressed Natural Gas,Y,MCCAB XII CORP.,CHICAGO,IL,60641.0,Sun Taxi Association Inc,"Sun Financial Services, Inc.",5533Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,3076Taxi,Taxi
FORECLOSURE,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",542Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,SNOWSTORM II HACKING CORP.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1413Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,1686Taxi,Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,N & N TRANSPORTATION INC.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,3079Taxi,Taxi
ACTIVE,CADILLAC,ESCALADE,2024.0,BLACK,Diesel,N,HOLO BLACK LUXURY INC,CHICAGO,IL,60656.0,None,None,70706Livery,Livery
INACTIVE,FREIGHLINE,TROLLEY,2005.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,18536Charter Sightseeing,Charter Sightseeing
INACTIVE,CHAMPION,TROLLEY,2001.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,13922Charter Sightseeing,Charter Sightseeing
INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,16000Charter Sightseeing,Charter Sightseeing
INACTIVE,FREIGHTLINER,TRANSIT BUS,2002.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,19210Charter Sightseeing,Charter Sightseeing
INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,16003Charter Sightseeing,Charter Sightseeing
INACTIVE,FREIGHTLINER,X LINE SHUTTLE,2000.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,50000Charter Sightseeing,Charter Sightseeing
INACTIVE,CHAMPION,TROLLEY,1993.0,ORANGE,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,15065Charter Sightseeing,Charter Sightseeing
INACTIVE,MCI,4505,2007.0,BLACK/WHITE/RED/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,19175Charter Sightseeing,Charter Sightseeing
INACTIVE,CHAMPION,TROLLEY,2000.0,MAROON,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,1000009Charter Sightseeing,Charter Sightseeing
INACTIVE,Unknown,Unknown,2002.0,RED/CREAM,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,79331Charter Sightseeing,Charter Sightseeing
ACTIVE,MERCEDES,SPRINTER,2013.0,WHITE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126.0,None,None,4893Ambulance,Ambulance
INACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,16783Charter Sightseeing,Charter Sightseeing
INACTIVE,GILLIG,TRANSIT,2016.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,20614Charter Sightseeing,Charter Sightseeing
INACTIVE,CHAMPION,TROLLEY,1998.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,1000013Charter Sightseeing,Charter Sightseeing
ACTIVE,MERCEDES,SPRINTER,2012.0,WHITE/RED,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126.0,None,None,4885Ambulance,Ambulance
INACTIVE,Unknown,Unknown,2006.0,YELLOW/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,23340Charter Sightseeing,Charter Sightseeing
INACTIVE,FREIGHTLINER,GLAVAL LEGACY,2015.0,BLACK,Diesel,N,JKS LIMOUSINES LLC.,CHICAGO,IL,60602.0,None,None,10714Charter Sightseeing,Charter Sightseeing
INACTIVE,INTL,CARRYALL,1997.0,WHITE,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,13754Charter Sightseeing,Charter Sightseeing
INACTIVE,LEYLAND,OLYMPIAN,1988.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,17878Charter Sightseeing,Charter Sightseeing
INACTIVE,Unknown,Unknown,2006.0,RED/CREAM,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,91828Charter Sightseeing,Charter Sightseeing
INACTIVE,CHAMPION,TROLLEY,1998.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,15052Charter Sightseeing,Charter Sightseeing
INACTIVE,ALEXANDER DENNIS LTD,ENVIPO400,2012.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,16787Charter Sightseeing,Charter Sightseeing
INACTIVE,CHEVROLET,TROLLEY,1998.0,RED,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,17971Charter Sightseeing,Charter Sightseeing
INACTIVE,CHAMPION,TROLLEY,1990.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,17291Charter Sightseeing,Charter Sightseeing
ACTIVE,MERCEDES,SPRINTER,2015.0,WHITE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126.0,None,None,5655Ambulance,Ambulance
INACTIVE,FREIGHLINE,M2 106,2014.0,BLACK,Diesel,N,Amida Inc,CHICAGO,IL,60656.0,None,None,14086Charter Sightseeing,Charter Sightseeing
RESERVED,DODGE,AMBULANCE,2016.0,RED/BLUE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ELMHURST,IL,60126.0,None,None,5219Ambulance,Ambulance
INACTIVE,ALEXDER DENNIS LTD,E400H,2014.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,19629Charter Sightseeing,Charter Sightseeing
INACTIVE,CHAMPION,TROLLEY,2000.0,MAROON,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,14357Charter Sightseeing,Charter Sightseeing
INACTIVE,FREIGHLINE,X LINE SHUTTLE,2000.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,13760Charter Sightseeing,Charter Sightseeing
INACTIVE,IC,STARCRAFT,2014.0,SILVER,Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640.0,None,None,12023Charter Sightseeing,Charter Sightseeing
RESERVED,GILLIG,TRANSIT,2015.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,20613Charter Sightseeing,Charter Sightseeing
RESERVED,GILLIG,TRANSIT,2015.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,20606Charter Sightseeing,Charter Sightseeing
ACTIVE,ALEXDER DENNIS LTD,E400H,2014.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,19628Charter Sightseeing,Charter Sightseeing
INACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,16786Charter Sightseeing,Charter Sightseeing
ACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,CHICAGO,IL,60609.0,None,None,16777Charter Sightseeing,Charter Sightseeing
INACTIVE,FREIGHTLINER,X LINE SHUTTLE,2000.0,GREEN,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,13564Charter Sightseeing,Charter Sightseeing
INACTIVE,FREIGHTLINER,TROLLEY,1997.0,WHITE,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,20235Charter Sightseeing,Charter Sightseeing
INACTIVE,INTL,CARRYALL,1997.0,WHITE,Diesel,N,SCT USA INC,CHICAGO,IL,60630.0,None,None,1000012Charter Sightseeing,Charter Sightseeing
